185.37.168.42,50857
91.200.124.197,30845
14.207.120.9,8080
176.98.75.120,42950
206.201.0.227,80
87.241.241.183,40198
175.100.101.112,8080
36.76.216.137,8080
84.54.218.211,8080
45.70.218.102,48206
116.212.152.192,55864
180.183.134.204,8080
102.177.194.26,59042
177.99.59.228,8080
212.72.137.76,3128
45.236.220.42,3128
54.37.84.141,3128
186.46.222.226,59765
65.119.209.141,80
165.22.51.144,3128
67.205.164.130,8080
94.177.232.21,8080
167.114.164.13,8080
18.229.90.160,80
206.189.216.18,3128
35.176.124.96,80
92.46.112.10,8080
212.237.23.41,8080
165.22.39.159,3128
165.227.75.219,80
192.241.142.123,8080
188.226.141.211,8080
67.205.172.239,3128
165.22.105.131,8080
150.109.55.190,83
109.193.195.3,8080
217.8.51.200,3128
180.253.159.18,3128
37.49.127.231,8080
149.172.255.14,8080
82.212.62.20,8080
